epoch,learning_rate,train_loss,val_loss,pseudo_dice,epoch_time_s,ema_pseudo_dice
354,0.0033,-0.6252,-0.5598,0.8025,219.7,
355,0.00328,-0.597,-0.6273,0.8268,218.73,
356,0.00326,-0.6097,-0.5764,0.8077,218.97,
357,0.00324,-0.6058,-0.5501,0.782,219.29,
358,0.00322,-0.6155,-0.6117,0.8174,219.91,
359,0.0032,-0.6249,-0.5639,0.7937,218.37,
360,0.00318,-0.6217,-0.5684,0.8147,220.55,
361,0.00316,-0.6153,-0.6311,0.857,220.09,
362,0.00314,-0.6103,-0.5493,0.8152,219.3,
363,0.00312,-0.6268,-0.6195,0.8266,219.82,
364,0.0031,-0.6191,-0.5802,0.7874,219.36,
365,0.00308,-0.6166,-0.5817,0.8087,219.05,
366,0.00306,-0.5746,-0.5664,0.7742,219.96,
367,0.00304,-0.6202,-0.6079,0.7933,219.67,
368,0.00302,-0.6104,-0.5366,0.7545,219.34,
369,0.003,-0.6027,-0.5719,0.7827,219.76,
370,0.00297,-0.6176,-0.6079,0.8186,219.98,
371,0.00295,-0.616,-0.5944,0.8429,217.67,
372,0.00293,-0.6027,-0.6355,0.815,219.36,
373,0.00291,-0.6201,-0.6114,0.8281,220.12,
374,0.00289,-0.6049,-0.6388,0.8373,219.99,
375,0.00287,-0.5796,-0.6117,0.8395,219.93,
376,0.00285,-0.6191,-0.6523,0.8414,220.92,
377,0.00283,-0.6166,-0.6177,0.8638,219.06,0.82190001
378,0.00281,-0.6245,-0.613,0.8519,219.87,0.824899971
379,0.00279,-0.6248,-0.5674,0.7833,218.86,
380,0.00277,-0.6177,-0.6366,0.8157,220.22,
381,0.00275,-0.6031,-0.6066,0.8091,218.54,
382,0.00273,-0.6226,-0.6812,0.8438,219.63,
383,0.00271,-0.6132,-0.5933,0.8115,218.87,
384,0.00268,-0.6156,-0.6041,0.8273,219.68,
385,0.00266,-0.6129,-0.577,0.8128,219.74,
386,0.00264,-0.6078,-0.623,0.8155,219.23,
387,0.00262,-0.6078,-0.6122,0.8015,220.56,
388,0.0026,-0.6206,-0.5743,0.7744,220.02,
389,0.00258,-0.6384,-0.5792,0.8185,219.33,
390,0.00256,-0.6084,-0.5395,0.7805,220.64,
391,0.00254,-0.6325,-0.5606,0.8102,219.65,
392,0.00252,-0.5988,-0.592,0.7854,219.71,
393,0.0025,-0.6212,-0.569,0.8147,219.03,
394,0.00248,-0.622,-0.5613,0.7767,217.87,
395,0.00245,-0.6191,-0.5835,0.8186,219.4,
396,0.00243,-0.6308,-0.526,0.7754,219.3,
397,0.00241,-0.624,-0.6018,0.8222,220.15,
398,0.00239,-0.6342,-0.6029,0.8162,218.99,
399,0.00237,-0.6313,-0.5945,0.8221,218.81,
400,0.00235,-0.6211,-0.5713,0.8101,219.68,
401,0.00233,-0.6235,-0.6352,0.8258,219.7,
402,0.00231,-0.6159,-0.5983,0.8282,219.45,
403,0.00229,-0.6082,-0.6027,0.852,218.66,
404,0.00226,-0.6364,-0.5915,0.847,220.05,
405,0.00224,-0.6101,-0.5724,0.7939,219.25,
406,0.00222,-0.6414,-0.5775,0.8255,219.85,
407,0.0022,-0.6252,-0.6557,0.8409,218.93,
408,0.00218,-0.6329,-0.6031,0.7915,220.02,
409,0.00216,-0.6245,-0.5576,0.7805,220.13,
410,0.00214,-0.6276,-0.5549,0.7626,220.29,
411,0.00212,-0.609,-0.6109,0.8093,219.96,
412,0.00209,-0.6334,-0.5807,0.8293,220.46,
413,0.00207,-0.6274,-0.6084,0.7923,220.27,
414,0.00205,-0.6244,-0.635,0.8171,219.84,
415,0.00203,-0.6127,-0.5857,0.8339,220.18,
416,0.00201,-0.6313,-0.6084,0.8221,220.78,
417,0.00199,-0.6361,-0.5782,0.8156,220.73,
418,0.00196,-0.6215,-0.6343,0.819,219.91,
419,0.00194,-0.6376,-0.5716,0.831,219.71,
420,0.00192,-0.6352,-0.5722,0.8332,219.79,
421,0.0019,-0.6221,-0.5964,0.8051,220.69,
422,0.00188,-0.6301,-0.5701,0.8236,221.15,
423,0.00186,-0.6251,-0.5695,0.8142,219.77,
424,0.00184,-0.6467,-0.5713,0.8086,220.05,
425,0.00181,-0.6362,-0.6422,0.8294,219.07,
426,0.00179,-0.6544,-0.5745,0.8213,220.21,
427,0.00177,-0.6386,-0.5854,0.7867,219.75,
428,0.00175,-0.6245,-0.6178,0.8409,220.77,
429,0.00173,-0.6288,-0.6089,0.8401,220.44,
430,0.0017,-0.6321,-0.633,0.8306,219.8,
431,0.00168,-0.6395,-0.6141,0.8072,220.05,
432,0.00166,-0.6533,-0.6125,0.8441,221.16,
433,0.00164,-0.6525,-0.6063,0.7983,220.91,
434,0.00162,-0.6344,-0.5701,0.8264,220.35,
435,0.00159,-0.626,-0.6217,0.8301,219.98,
436,0.00157,-0.6448,-0.6294,0.8469,220,
437,0.00155,-0.638,-0.5678,0.8299,220.31,
438,0.00153,-0.6284,-0.6106,0.8267,220.82,
439,0.00151,-0.6377,-0.6429,0.8476,219.67,0.826799989
440,0.00148,-0.6449,-0.5963,0.8298,220.93,0.827099979
441,0.00146,-0.6139,-0.5844,0.7821,221.28,
442,0.00144,-0.6588,-0.6081,0.8134,220.64,
443,0.00142,-0.6279,-0.5466,0.8293,221.1,
444,0.00139,-0.6403,-0.5869,0.8253,220.99,
445,0.00137,-0.6107,-0.5897,0.8116,220.37,
446,0.00135,-0.637,-0.6432,0.8089,220.73,
447,0.00133,-0.6529,-0.626,0.8197,222.1,
448,0.0013,-0.6355,-0.5858,0.8102,219.87,
449,0.00128,-0.6412,-0.5765,0.8118,220.98,
450,0.00126,-0.6591,-0.6546,0.844,220.57,
451,0.00124,-0.6508,-0.6571,0.8432,220.22,
452,0.00121,-0.6465,-0.5874,0.8189,220.74,
453,0.00119,-0.6752,-0.5857,0.7975,222.92,
